,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
18772,Midst of Everything,https://open.spotify.com/embed/track/2UScMXkAslXCfMcRx2Wlr7,spotify:track:2UScMXkAslXCfMcRx2Wlr7,62,Tora Summer,0.146,0.0592,0.0426,0.935,0.909,67.854,-30.503,0.0418,0.0743,4
18788,Summer Rain,https://open.spotify.com/embed/track/4XRWyxfFJQvJ62KubqR1Lr,spotify:track:4XRWyxfFJQvJ62KubqR1Lr,40,Florida Frank,0.66,0.219,0.329,0.883,0.88,79.986,-12.694,0.109,0.163,4
18790,Binaural Alpha Sinus 142 Hz - 152 Hz,https://open.spotify.com/embed/track/5jBVAlyZXeFBa2J5Jhjqe1,spotify:track:5jBVAlyZXeFBa2J5Jhjqe1,46,ÅÄÖ123,0.224,0.0116,0.0379,0.894,0.814,69.282,-34.131,0.0619,0.112,4
18791,Icarus,https://open.spotify.com/embed/track/6tJbLsGmLbLqJswFQFolUs,spotify:track:6tJbLsGmLbLqJswFQFolUs,17,Oddity,0.425,0.587,0.358,0.797,0.912,125.316,-10.524,0.0379,0.111,4
18794,Little Drummer Boy,https://open.spotify.com/embed/track/5HZZkNOzjZnPPtrmwg6eQI,spotify:track:5HZZkNOzjZnPPtrmwg6eQI,20,Leon Arms,0.719,0.139,0.172,0.91,0.931,115.434,-19.635,0.257,0.107,4
18795,"ready, steady, go",https://open.spotify.com/embed/track/4mQEVCbtbQuiOYouVR0fcs,spotify:track:4mQEVCbtbQuiOYouVR0fcs,53,Hers Lake,0.611,0.0622,0.0602,0.95,0.928,73.04,-21.731,0.0379,0.111,4
18798,Nightrain,https://open.spotify.com/embed/track/3qNtyx6HFRRFsj4wF5vslr,spotify:track:3qNtyx6HFRRFsj4wF5vslr,65,Ronja Mair,0.134,0.00449,0.04,0.994,0.933,72.367,-35.249,0.0419,0.0935,4
18803,"Sunrise Mass: Kyrie ""The Spheres""",https://open.spotify.com/embed/track/2JKprlOn7EiSpFZPysLRBm,spotify:track:2JKprlOn7EiSpFZPysLRBm,33,Ola Gjeilo,0.173,0.0486,0.0301,0.993,0.374,82.31,-26.893,0.0394,0.0751,4
18805,Blurred,https://open.spotify.com/embed/track/2rj6EX8Ji51d2V6ozhsM52,spotify:track:2rj6EX8Ji51d2V6ozhsM52,35,Sweet Dreamer,0.129,0.0145,0.038,0.871,0.763,79.839,-32.002,0.0438,0.108,4
18806,Mol allena,https://open.spotify.com/embed/track/7J1KmTQJFGhkyKHNZBbmc0,spotify:track:7J1KmTQJFGhkyKHNZBbmc0,52,Alfred Janders,0.401,0.0591,0.383,0.994,0.927,64.988,-31.025,0.0455,0.163,4
18811,Something Blue,https://open.spotify.com/embed/track/6iRURJLwZ955oKZflqydbs,spotify:track:6iRURJLwZ955oKZflqydbs,22,Eximo Blue,0.453,0.0802,0.415,0.968,0.942,88.453,-20.906,0.0565,0.0927,4
18813,A Nightingale Sang In Berkeley Square,https://open.spotify.com/embed/track/1sp7bA5S2pxf2mNsVLCjuU,spotify:track:1sp7bA5S2pxf2mNsVLCjuU,54,Southside Players,0.578,0.19,0.14,0.959,0.922,128.807,-17.377,0.0513,0.18,4
18820,I'll Know,https://open.spotify.com/embed/track/7qLzoarYodaUHezJvndAdK,spotify:track:7qLzoarYodaUHezJvndAdK,53,Bill Charlap Trio,0.32,0.11,0.169,0.926,0.817,61.852,-21.339,0.047,0.0995,4
18821,Too Much Rain,https://open.spotify.com/embed/track/0r1DmdncRC4AHRjFIZKwwn,spotify:track:0r1DmdncRC4AHRjFIZKwwn,37,Screen Jazzmaster,0.578,0.491,0.172,0.689,0.813,80.002,-10.362,0.0313,0.111,4
