,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
30098,Neenga Mattum Illaathirundhaal,https://open.spotify.com/embed/track/52RrXoFZHnUNSBUTmJ8sAI,spotify:track:52RrXoFZHnUNSBUTmJ8sAI,26,Krishnaraj,0.648,0.724,0.44,0.202,1.39e-05,104.979,-7.476,0.0444,0.111,3
30101,Antagonist,https://open.spotify.com/embed/track/3XRknZ0U5NKW8r5g44ptA6,spotify:track:3XRknZ0U5NKW8r5g44ptA6,48,Nova Twins,0.576,0.947,0.274,0.000646,3.4e-05,119.922,-4.473,0.0983,0.34,3
30107,Sivuni Aana,https://open.spotify.com/embed/track/6ZcRjdq1sUYDKxZ6GsOtTm,spotify:track:6ZcRjdq1sUYDKxZ6GsOtTm,48,M. M. Keeravani,0.706,0.763,0.429,0.348,1.34e-06,146.941,-6.867,0.0714,0.145,3
30108,O Que Eu Não Fiz,https://open.spotify.com/embed/track/4Xb0nnx2DynCIX0CQzDbyy,spotify:track:4Xb0nnx2DynCIX0CQzDbyy,39,Rui Orlando,0.65,0.761,0.489,0.0506,2.87e-05,92.07,-6.322,0.0532,0.152,3
30115,Californication,https://open.spotify.com/embed/track/48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,81,Red Hot Chili Peppers,0.592,0.767,0.328,0.0021,0.00165,96.483,-2.788,0.027,0.127,3
30122,Do You Love Me,https://open.spotify.com/embed/track/3neht9bfnLvQwV9jXIWVK9,spotify:track:3neht9bfnLvQwV9jXIWVK9,35,Nikhita Gandhi,0.792,0.72,0.538,0.0143,0.0287,169.99,-7.32,0.116,0.0944,3
30125,Atropos,https://open.spotify.com/embed/track/3oGlG3Q8CF3Ms5DbX16jiN,spotify:track:3oGlG3Q8CF3Ms5DbX16jiN,51,Periphery,0.43,0.964,0.12,3.05e-05,0.0107,159.941,-4.5,0.122,0.261,3
30127,Crush Culture,https://open.spotify.com/embed/track/2sHwSBNDZN2yjCtgwStYt1,spotify:track:2sHwSBNDZN2yjCtgwStYt1,66,Conan Gray,0.522,0.765,0.455,0.146,0.0,180.065,-5.395,0.193,0.0866,3
30131,"Free Ride - Live at Bailey's, London, England - 1975",https://open.spotify.com/embed/track/6p31MRw6SHnG4B2FOV8I0Z,spotify:track:6p31MRw6SHnG4B2FOV8I0Z,8,The Three Degrees,0.556,0.761,0.495,0.305,1.15e-05,123.75,-8.773,0.071,0.914,3
30135,Hotel California - 2013 Remaster,https://open.spotify.com/embed/track/40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,83,Eagles,0.579,0.508,0.609,0.00574,0.000494,147.125,-9.484,0.027,0.0575,3
30138,Makeshift Harmony,https://open.spotify.com/embed/track/5hT9plaY8kgBZSmCUpfV47,spotify:track:5hT9plaY8kgBZSmCUpfV47,42,Monuments,0.348,0.976,0.386,2.37e-05,2.78e-06,138.834,-5.417,0.13,0.215,3
30141,Our Song,https://open.spotify.com/embed/track/5zqObw7wjBgL9TDiAymxPn,spotify:track:5zqObw7wjBgL9TDiAymxPn,64,Anne-Marie,0.595,0.759,0.515,0.141,0.0,80.953,-4.245,0.0423,0.172,3
30145,BOOMERANG,https://open.spotify.com/embed/track/2RzArAk9SebsfvGsDYqIbH,spotify:track:2RzArAk9SebsfvGsDYqIbH,29,TEAM 1:00,0.775,0.724,0.323,0.0232,0.0,99.988,-2.681,0.0374,0.0719,3
30147,Romance Is Dead,https://open.spotify.com/embed/track/6Q9XnZPl7qbvvYV3UBz6bP,spotify:track:6Q9XnZPl7qbvvYV3UBz6bP,45,Parkway Drive,0.221,0.924,0.154,0.000447,0.0068,146.797,-4.57,0.123,0.389,3
